Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  64 bit (fpc 3.3.1 x86_64-Linux)	10001182
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
AsymmetricTop	Excited	23	O-	7	Ground	24	O-	8	12235.6224175809	5.57620910880171E-9	14451.7249750613	2216.10255748034	15.4371809582838	188690.712546509	0	pP15,10(24)	Excited v=1 23 14 10 - Ground v=0 24 15 10
AsymmetricTop	Excited	22	O-	7	Ground	23	O-	8	12236.0308085476	6.05251069626089E-9	14436.1483381316	2200.11752958399	15.2830957658783	195129.393159091	0	pP15,9(23)	Excited v=1 22 14  9 - Ground v=0 23 15  9
AsymmetricTop	Excited	22	O+	8	Ground	23	O+	8	12236.0308085476	6.05251069626097E-9	14436.1483381316	2200.11752958399	15.2830957658783	195129.393159091	0	pP15,8(23)	Excited v=1 22 14  8 - Ground v=0 23 15  8
AsymmetricTop	Excited	21	O+	8	Ground	22	O+	8	12236.4504172532	6.54735170349034E-9	14421.2489696464	2184.79855239312	15.1374596992993	202280.070550181	0	pP15,7(22)	Excited v=1 21 14  7 - Ground v=0 22 15  7
AsymmetricTop	Excited	21	O-	7	Ground	22	O-	8	12236.4504172532	6.54735170349038E-9	14421.2489696464	2184.79855239312	15.1374596992993	202280.070550181	0	pP15,8(22)	Excited v=1 21 14  8 - Ground v=0 22 15  8
AsymmetricTop	Excited	20	O+	8	Ground	21	O+	8	12236.8812415887	7.05946007318048E-9	14407.0268664909	2170.14562490222	15.0015146022205	210264.364983826	0	pP15,6(21)	Excited v=1 20 14  6 - Ground v=0 21 15  6
AsymmetricTop	Excited	20	O-	7	Ground	21	O-	8	12236.8812415887	7.05946007318048E-9	14407.0268664909	2170.14562490222	15.0015146022205	210264.364983826	0	pP15,7(21)	Excited v=1 20 14  7 - Ground v=0 21 15  7
AsymmetricTop	Excited	19	O+	8	Ground	20	O+	8	12237.3232795426	7.58758176440024E-9	14393.4820256921	2156.15874614949	14.8767488269101	219232.487165339	0	pP15,5(20)	Excited v=1 19 14  5 - Ground v=0 20 15  5
AsymmetricTop	Excited	19	O-	7	Ground	20	O-	8	12237.3232795426	7.58758176440024E-9	14393.4820256921	2156.15874614949	14.8767488269101	219232.487165339	0	pP15,6(20)	Excited v=1 19 14  6 - Ground v=0 20 15  6
AsymmetricTop	Excited	18	O-	7	Ground	19	O-	8	12237.7765292013	8.13058769700748E-9	14380.6144444182	2142.83791521688	14.7649621112484	229371.975903376	0	pP15,5(19)	Excited v=1 18 14  5 - Ground v=0 19 15  5
